Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,MGU@10,DGU@10,DivRatio@10,ORRatio@10,PredictNotInRatio@10,NDCG@10,HR@10,Predict_NotIn_Ratio
Goodreads,SPRec,SelfPaly,0.0227651259748188,0.0788942384583304,0.1266,0.087,0.701,0.0139822435636894,0.022,0.0141333675665805,0.0450313294761574,0.0968,0.0623,0.701,0.0158400085587484,0.028,0.701
Goodreads,ClusterExposure_model,clusterout_high,0.0185014477402672,0.0652478880052406,0.13,0.1154,0.815,0.0150953907564549,0.023,0.0124714201432745,0.0418171370629533,0.0979,0.0807,0.815,0.0166760560945421,0.028,0.815
Goodreads,ClusterExposure_model,low_exposure,0.0201182226040503,0.0742725943904345,0.1284,0.0986,0.749,0.0166131733172609,0.025,0.0126790831371458,0.0451840861975525,0.0983,0.0656,0.749,0.0182082735364698,0.03,0.749
Goodreads,ClusterExposure_model,high_exposure,0.0186978353073167,0.0655017096017437,0.1366,0.12,0.825,0.0149567438726017,0.023,0.0129316413948564,0.0434535172913557,0.1027,0.0849,0.825,0.0165374092106889,0.028,0.825
Goodreads,ClusterExposure_model,clusterin_high,0.0186727878616745,0.0655792603469052,0.1368,0.1202,0.825,0.0149567438726017,0.023,0.0129340393728814,0.0434921247375571,0.1032,0.085,0.825,0.0165374092106889,0.028,0.825
Goodreads,ClusterExposure_model,clusterout_low,0.018647302065405,0.064402053598854,0.1366,0.0966,0.779,0.0211054561869791,0.033,0.0129244474607813,0.0435878040607508,0.1026,0.0648,0.779,0.022989621232506,0.039,0.779
Goodreads,ClusterExposure_model,clusterin_low,0.0196360336386704,0.0729685741267756,0.1292,0.0978,0.748,0.0170438498753343,0.027,0.0124505041698884,0.0443448955081479,0.0978,0.0655,0.748,0.0186389500945432,0.032,0.748
Goodreads,ClusterExposure_model,clusterin_high_clusterout_low,0.017538403621242,0.0649695269838595,0.1292,0.0946,0.8,0.0200497863288141,0.03,0.0113141660470026,0.0404045951992686,0.0999,0.0623,0.8,0.0216304516669013,0.035,0.8
Goodreads,ClusterExposure_model,balanced_popularity,0.0183124092604655,0.0682343380764229,0.1296,0.095,0.787,0.0194188565752426,0.029,0.011855696363622,0.0417222037235233,0.0983,0.0649,0.787,0.0213581988122135,0.035,0.787
Goodreads,ClusterExposure_model,clusterin_low_clusterout_low,0.0185707481395071,0.070775703266434,0.1256,0.0896,0.77,0.0177441030708323,0.027,0.0125401561077326,0.0457289914467653,0.0951,0.0626,0.77,0.0196282681163592,0.033,0.77
Goodreads,ClusterExposure_model,two_stages clusterin_low_clusterout_low,0.0130443067303601,0.0543252744070219,0.1724,0.1032,0.873,0.0243987518386896,0.037,0.0116545251747332,0.0440480987136119,0.1274,0.0752,0.873,0.027282018994242,0.046,0.873
Goodreads,ClusterExposure_model,two_stages clusterin_high_clusterout_low,0.0110650725648773,0.0462771314038553,0.173,0.121,0.914,0.0236428287850265,0.035,0.0102618985247686,0.0393276501272154,0.1257,0.0879,0.914,0.0258544238766852,0.042,0.914
Goodreads,ClusterExposure_model,two_epochs clusterin_low_clusterout_low,0.0123091465318067,0.0538870946495596,0.156,0.1014,0.887,0.021811645835957,0.034,0.010887907798089319,0.04291122362272347,0.115,0.0692,0.887,0.023693341169708258,0.04,0.887
Goodreads,ClusterExposure_model,two_epochs clusterin_high_clusterout_low,0.0106447532259399,0.0391216276622062,0.1648,0.1182,0.906,0.0246984986431916,0.036,0.009262488745885,0.0357981952950081,0.1208,0.0805,0.906,0.0268285164929383,0.043,0.906
