Dataset,Model,SampleMethod,MGU@5,DGU@5,DivRatio@5,ORRatio@5,PredictNotInRatio@5,NDCG@5,HR@5,Predict_NotIn_Ratio
Goodreads,SPRec_OLMo1B,,0.0203149000983092,0.0642689107116527,0.112,0.2014,0.932,0.0197304494870708,0.03,0.932
Goodreads,sft_model_OLMo1B,,0.0203149000983092,0.0642689107116527,0.112,0.2014,0.932,0.0197304494870708,0.03,0.932
Goodreads,sft_model_OLMo1B,,0.0203149000983092,0.0642689107116527,0.112,0.2014,0.932,0.0197304494870708,0.03,0.932
Goodreads,DPO/RN1,,0.0126870683824003,0.0502388250631882,0.1668,0.1264,0.532,0.0254845918639319,0.038,0.532
Goodreads,sft_model_OLMo1B,,0.020293151386898,0.0665911507544207,0.075,0.1034,0.459,0.0163768135012057,0.022,0.459
Goodreads,beam_distance/ln_ches,,0.0153137924098099,0.0603996244245626,0.0874,0.1128,0.42,0.0213074900592791,0.028,0.42
Goodreads,beam_distance/last_hidden,,0.0183059605574303,0.0665779072934644,0.0888,0.1412,0.504,0.0203886596085319,0.028,0.504
Goodreads,RN50_distance/ln_ches,,0.0159229696267632,0.0494471225333211,0.1408,0.0698,0.873,0.013553347682418,0.019,0.873
Goodreads,RN50_distance/ches,,0.0141981805825422,0.0536759525419037,0.145,0.1442,0.593,0.0273193361666053,0.036,0.593
Goodreads,beam_distance/ln_ches,,0.015313792409809913,0.06039962442456262,0.0874,0.1128,0.42,0.02130749005927916,0.028,0.42
